shot_WDIA,t_start_analysis_spectro,t_end_analysis_spectro,NBI scenario 2
23809,1020,1167,ECH+NBI1
23811,1020,1166,ECH+NBI1
23836,1020,1176,ECH+NBI1
23906,1020,1195,ECH+NBI1
23989,1020,1166,ECH+NBI1
24010,1020,1164,ECH+NBI1
25004,1020,1147,ECH+NBI2
25164,1020,1146,ECH+both injectors
25213,1020,1247,ECH+NBI1
25217,1020,1222,ECH+NBI1
25464,1060,1176,ECH+NBI1
25489,1060,1177,ECH+NBI1
25621,1020,1205,ECH+NBI1
25904,1020,1137,ECH+NBI2
25928,1020,1191,ECH+NBI2
26195,1020,1182,ECH+NBI2
26208,1020,1181,ECH+NBI2
26709,1020,1105,ECH+NBI1
26750,1020,1160,ECH+NBI1
26888,1060,1151,ECH+NBI1
27086,1060,1221,ECH+NBI1
27145,1060,1220,ECH+NBI1
27208,1060,1240,ECH+NBI1
27212,1060,1240,ECH+NBI1
27440,1060,1211,ECH+NBI1
27445,1060,1209,ECH+NBI1
27449,1060,1211,ECH+NBI1
27469,1060,1212,ECH+NBI1
27526,1060,1212,ECH+NBI1
27796,1060,1200,ECH+NBI1
27834,1060,1202,ECH+NBI1
27939,1060,1281,ECH+NBI1
27968,1060,1212,ECH+NBI2
28088,1060,1221,ECH+NBI1
28102,1060,1221,ECH+NBI1
28242,1060,1155,ECH+NBI1
28282,1060,1292,ECH+NBI1
28402,1060,1273,ECH+NBI1
28404,1060,1273,ECH+NBI1
29022,1060,1211,ECH+NBI1
29025,1060,1240,ECH+NBI1
29037,1060,1242,ECH+NBI1
29079,1060,1231,ECH+NBI1
29092,1060,1230,ECH+NBI1
29129,1060,1179,ECH+NBI1
29206,1060,1232,ECH+NBI1
29341,1060,1210,ECH+NBI1
29443,1060,1210,ECH+NBI1
29569,1020,1114,No NBI plasma. No AE
29577,1020,1108,No NBI plasma. No AE
29650,1060,1278,ECH+NBI1
29807,1060,1197,ECH+NBI1
29820,1060,1200,ECH+NBI1
29838,1060,1197,ECH+NBI1
29852,1060,1207,ECH+NBI1
29867,1060,1208,ECH+NBI1
29928,1060,1217,ECH+NBI1
29929,1060,1218,ECH+NBI1
29940,1060,1219,ECH+NBI1
30011,1060,1218,ECH+both injectors
30121,1060,1219,ECH+NBI1
30123,1060,1217,ECH+NBI1
30523,1060,1198,ECH+both injectors
30846,1020,1228,No NBI plasma. No AE
30859,1060,1218,ECH+NBI1
30900,1060,1229,ECH+NBI1
30955,1060,1219,ECH+NBI1
31063,1060,1217,ECH+NBI1
31065,1060,1212,ECH+NBI1
31096,1060,1177,ECH+NBI2
31435,1060,1218,ECH+NBI2
31453,1060,1219,ECH+NBI2
31537,1060,1218,ECH+NBI1
31539,1060,1207,ECH+NBI1
31665,1060,1220,ECH+both injectors
31731,1060,1228,ECH+both injectors
31749,1060,1220,ECH+both injectors
32178,1060,1219,ECH+NBI2
32288,1060,1217,ECH+NBI1
32338,1060,1328,ECH+NBI1
32343,1060,1328,ECH+NBI1
32349,1060,1327,ECH+NBI1
32356,1060,1258,ECH+NBI1
32408,1060,1269,ECH+NBI1
32779,1060,1217,ECH+NBI2
32808,1060,1229,ECH+NBI2
32845,1060,1219,ECH+NBI2
32846,1060,1219,ECH+NBI2
